TARGETID,Z_1,TARGET_RA_1,TARGET_DEC_1,SURVEY
2349822405246977,0.9650875172667321,36.3921,-5.0362,main
2349822409441280,0.6277077633578265,36.8075951,-5.0255477,main
2349822409441281,0.6287059322715962,36.8074,-5.0252,main
2349822703042561,1.1639044459414023,54.2679,-4.879,main
2349823000838144,0.2988974968914746,72.1777,-5.0516,main
2349823000838145,1.1836377282023338,72.1766,-5.052,main
2349824401735681,1.11843394701331,155.7366,-5.0515,main
2349825152516096,0.5649110493036228,200.6132,-5.0262,main
2349827694264320,0.5686468452767528,352.6211,-5.0037,main
2349828159832065,1.151334910207892,20.5266,-4.8113,main
2349828428267521,0.3204673358279213,36.3543,-4.6779,main
2349828428267523,0.6300001583489702,36.383,-4.8498,main
2349834145103873,1.3129024500672426,18.075,-4.5835,main
2349834329653249,0.13416398901047846,29.2272,-4.4074,main
2349834409345025,0.3783298857356304,34.0243,-4.5769,main
2349834438705153,1.6300687984713313,35.8287,-4.3973,main
2349834442899457,1.1286809017283188,35.9402,-4.4012,main
2349834442899458,0.2941718364899317,36.0184475,-4.408378599999999,main
2349834442899459,1.4678614708933346,36.0179,-4.408,main
2349834451288064,1.1194228473300563,36.5928,-4.4229,main
2349834476453888,0.910856581972927,37.89,-4.4171,main
2349834602283009,0.5979666526406592,45.5833,-4.3886,main
2349834904272897,0.3171283794562297,63.6318,-4.5426,main
2349835009130497,0.8758492125591428,69.9339,-4.6103,main
2349835084627969,0.37957628726012654,74.3278,-4.4298,main
2349837349552129,0.4768204400710204,209.7014,-4.3962,main
2349840453337089,1.3800792567337075,35.0818,-4.1963,main
2349840470114305,0.9609806264801848,36.2197,-4.3485,main
2349840474308609,0.8199448783479507,36.379256,-4.209618,main
2349840474308611,0.9126235305208443,36.4031,-4.2546,main
2349840595943425,0.1322200986286375,43.6663,-4.306,main
2349842286247937,0.5453125749596832,144.6315,-4.253,main
2349845901737985,0.7688959992999259,0.4018,-4.0112,main
2349846363111425,1.6246112065803968,27.9106,-4.1202,main
2349846455386112,0.5850745435634991,33.5463,-4.0842,main
2349846459580416,0.6085753060109325,33.5467,-4.0841,main
2349846514106369,1.3438708915349882,36.81351,-3.903144,main
2349846518300673,0.2517407042383806,37.1689,-4.0033,main
2349846518300675,0.17407956963010415,37.2003,-4.1155,main
2349849496256512,0.3933634865393682,214.8651,-4.0001,main
2349849496256513,1.453170933190085,214.8653,-4.0004,main
2349852042199041,0.8599385164410154,6.95194317,-3.8133408,main
2349852230942721,0.2982457016309366,18.2542,-3.7213,main
2349852478406656,0.7473536717897029,32.8151,-3.7301,main
2349852478406657,1.6134483583822121,32.8153,-3.7311,main
2349852507766785,0.7264167794826097,34.6218,-3.678,main
2349852541321219,0.3277108857860041,36.6764,-3.6807,main
2349852595847169,0.7451284712465774,39.8085,-3.7409,main
2349854458118144,0.2471147095540532,151.2006,-3.7158,main
2349854458118145,0.9978012600006595,151.20192,-3.7163474,main
2349854768496640,0.34812748734266835,169.6106,-3.6276,main
2349854768496641,0.8452338917103163,169.6105,-3.6272,main
2349855640911872,0.3413990093986274,221.6789,-3.8504,main
2349855640911873,0.34045482574840424,221.6793,-3.8507,main
2349858014887937,0.10794987722570401,3.29165609,-3.59604589,main
2349858245574657,0.6893183560378991,17.0292,-3.58,main
2349858451095553,0.3607051797613516,29.3815,-3.5164,main
2349858497232897,0.6178560678207551,32.1956,-3.4577,main
2349858560147457,1.5131365457512391,36.0425,-3.6007,main
2349858597896193,0.07862250605062714,38.2083,-3.3914,main
2349858602090496,1.0486804179441422,38.38314,-3.467,main
2349858602090497,0.7303152956495899,38.3835,-3.4662,main
2349859038298113,0.17582232356533978,64.4871,-3.613,main
2349861374525441,1.473924536452141,203.9999,-3.5218,main
2349861785567233,0.8197692788371975,228.4625,-3.4625,main
2349866701291521,0.3838724761549271,161.8514,-3.2125,main
2349870484553729,0.7812826796519478,27.5387,-3.0775,main
2349870618771457,0.4239269006856446,35.7483,-2.9741,main
2349872552345601,0.9585639696748538,150.8882,-2.9494,main
2349876436271105,1.485745356012259,22.4803,-2.6683,main
2349877266743297,0.4105541276233206,71.867,-2.8597,main
2349878298542080,0.7753518005261851,133.3655,-2.62922,main
2349878298542081,1.6778670488834126,133.3653,-2.6291,main
2349878902521857,1.049975691591392,169.452,-2.838,main
2349879678468097,0.8000824772225408,215.6474,-2.6503,main
2349882165690369,0.6674670576110195,3.9677,-2.5127,main
2349882396377089,1.5716322952907091,17.5267,-2.5405,main
2349882589315073,0.1646359019067227,29.1400617,-2.4217456000000004,main
2349882757087233,0.5625589064401669,39.23,-2.6153,main
2349888264208385,0.6979528666342536,7.4406,-2.3547,main
2349888528449537,0.25529143574762164,23.0125,-2.2998,main
2349888679444481,0.49766405297734073,32.0449,-2.3383,main
2349888733970433,0.7082170888306444,35.4173,-2.1727,main
2349888780107777,0.5120866623914753,38.0723,-2.2841,main
2349890482995200,0.46023081142984074,139.6806,-2.3354,main
2349890482995201,0.804544392796326,139.6802,-2.3354,main
2349890805956609,0.13906103448240065,158.7887,-2.3038,main
2349890822733824,0.1629054841059565,159.7807,-2.2751,main
2349890822733825,0.16257392317819871,159.7801,-2.275,main
2349890986311681,1.2060909756003608,169.7444,-2.2898,main
2349891074392065,1.5527650616398392,174.8718,-2.3071,main
2349891166666752,0.38442168720410375,180.2709,-2.3681,main
2349891204415489,0.2745548701108895,182.733117,-2.2278058,main
